Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Variable,Name,Description,Value Type,Value Range,Value Provider,Value ID,Control ID,Group ID,Layout type,Place of Settings,Prompt,Default,Top Value,Searchable,Excluded Categories,Excluded Layouts,Use Parent Settings,Top Use Parent Settings,Custom Categories,Custom Order Layout,Online Flag,NETQUOTEVAR Name,Value Sub ID,Value Sub Sub ID,Included Layout Types,Included Layouts,Created By,Bounded By,Sub Variables,No Layout,Used in External Design,Allow Use Parent,Allow New,Hide If one Choice,Upload,Property Tab ID,Modifiable In Duplicate,Default Encoding,Cascade,Allow Empty Value,Upload If Defined,Export To Google Base
Variable,Bullet4,Text for Bullet Point 4 on the Species Product,0,,21,-1,1,SpeciesProduct,,8,Text for Bullet4?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Bullet5,Text for Bullet Point on the Species Product,0,,21,-1,1,SpeciesProduct,,8,Text for Bullet5?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Bullet6,Text for Bullet Point 6 on the Species Product,0,,21,-1,1,SpeciesProduct,,8,Text for Bullet6?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,1,0,0
Variable,FeaturedDescriptionText,This text sits above the bullets and below the Icon on the species product page.,0,,21,-1,1,SpeciesProduct,,8,Featured Description Text,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,SpeciesPageH1Title,The H1 Title for Display on a Species Page. The HTML should contain the classes 'TitleBold' & 'TitleItalic',0,,21,-1,1,SpeciesProduct,,8,H1 Title for Species Page?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,1,0,0
Variable,SpeciesPageH2Title,The H2 Title for Display on a Species Page. The HTML should contain the classes as needed.,0,,21,-1,1,SpeciesProduct,,8,H2 Title for Species Page?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,ProductPageH1Title,Used on the Spec's product page when standalone (i.e. google shopping). This should contain HTML classes as needed.,0,,21,-1,1,Product,,8,"Product Page, H1 Title?",,,0,Species_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,ProductPageH2Title,Used on the Spec's product page when standalone (i.e. google shopping). This should contain HTML classes as needed.,0,,21,-1,1,Product,,8,"Product Page, H2 Title?",,,0,Species_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Latin Name,"The Latin Name of a plant, applicable to both Products and Species Products",0,,21,-1,1,Hedges Attributes,,10,Latin Name?,,,1,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,RootType,The Root type of a product (if applicable).,3,Bare Root|Pot Grown|Root Ball|Instant Hedging,21,-1,13,Product,,8,RootType,,Bare Root,0,Species_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,1,0,0
