Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Full Description,Report Description,Price,Image Filename,Can be Ordered Online,Max Quantity Orderable,Min Quantity Orderable,Date Prompt Text,Other Info Prompt,Detail URL or File,Detail Link Text,Hide on Web Site,Shipping Data,Price Text,Button Text,Use External Data,Stock Checks Enabled,Stock in Hand,Stock Warning Level,Stock Suspend Level,Pricing Model,Ship Separately,V4 Tax 1 Data,IsDeleted,No Order Line For Main Product,Date Prompt Minimum Year,Date Prompt Maximum Year,Generate Popup Page,Extended Info Text,Extended Info Image,Clicking Product Image in Product List,Use Product Page,Product Page Name,Use Product Page in Site Map,Product Page Title,Product Page Meta Description,Product Page Meta Keywords,Clicking Product Image on Product Page,Extended Info Button on Product Page,Text Link on Product Page,Link Text on Product Page,Text Link in Product List,Clicking Product Name in Product List,Extended Info Page Name,Product List Link Text,Digital Download File Name,Auto Ship,Product Group ID,Product Type,Original Product Reference,Product Duplicate Index,Fragment Layout,Linked Item ID,Link Type,Is Linked,Image Clickable,Link Text,Exclude From Google Product Search Data Feed,Thumbnail,nContentCategory,Include in BestSellers List,Include in New Products List,Include in Also Bought Lists,Share with EPOS,Barcode,StockAisle,StockRack,StockSubRack,StockBin,Assembly Product,Exclude From Shipping,Shipping Supplement Applied Once,Shipping Supplement,Handling Supplement Applied Once,Handling Supplement,Alternative Weight,Shipping Category,Shipping Quantity,Cost Price,Hide From Search And Filters,Product Alternative List,Product Alternative Parent,Product Embed Video,Embed Video for Extended Info page,ExtendedInfoVideo,OverrideStaticPrice,ProductLayoutRWD,ProductPageProductLayoutRWD,ProductImageMaxWidth,CustomisableImagePosition,mpn,ProductSubTitle,IsSpeciesProduct,ProductFilterType,Image1,Image2,Image3,Image4,Image5,Image6,ImageAltTag1,ImageAltTag2,ImageAltTag3,ImageAltTag5,ImageAltTag4,ImageAltTag6,ImageAltTagSpec,Bullet1,Bullet2,Bullet3,Bullet4,Bullet5,Bullet6,FeaturedDescriptionText,SpeciesPageH1Title,SpeciesPageH2Title,ProductPageH1Title,ProductPageH2Title,Latin Name,RootType,Berry Colour,Colourful Foliage,Deciduous,Evergreen,Common Name,Flower Colour,Grows Up To,Growth Rate,Has Berries,Has Flowers,Has Wildlife Value,Is Edible,Is Fragrant,Is Prickly,Leaf Colour,Maintainable Height,Planting Density,SpecificationSize,Is Native,National Trust,Feature Hedge,Intruder Proof,ProductPriceDescription,Noise Prevention,Privacy Hedge,Windbreak,Latin A-Z Letter,Name A-Z Letter,Is Grazing Animal Friendly,Latin A-Z Group,Name A-Z Group,Requires Pallet,Parent Section,Species Code,condition,ExtendedInformationType,AttributeColumnCount,ProductLinks,NumberAttributesInPushButtonGrid,PushButtonGrid,RetailPricePrefix,YourPricePrefix,MOTOProductLayout,OnlinePriceLayout,RealTimeStockDisplay,FeefoProductLogo,FeefoProductLogoType,EnableFeefoContentForProducts,FeefoProductFeedback,FeefoProductCommentMax,SiteMapProductLink,brand,ean,isbn,upc,DynamicPricePrefix,DynamicPrice,ExtInfoWindowHeight,ExtInfoWindowWidth,ExtendedInfoPageDesign,Occasion,ProductImageLayout,DisplayCartComponentName,DisplayCartAttributeName,PrefixToTweet,Hashtag,TweetCounts,UseDynamicPrices,UseDynamicChoices,AttributeList,GooglePlusButtonAnnotation,PriceLayout,PinItButton,PinItButtonCount,ProductShareButtonsPosition,ComponentList,ShowLikeCount,FeefoMergeReviews,ProductVideo
Product,BUXS-BR-DPK-20/30-50,"Box (Buxus Sempervirens) 20/30cm bare roots, discounted pack of 50",,,9452,,1,0,1,,,,,0,,,,0,0,0,0,0,0,0,301=2000=0=,0,0,0,0,0,,,0,1,Box--Buxus-Sempervirens--20-30cm-bare-roots--discounted-pack-of-50-BUXS_BR_DPK_20_30_50.html,1,,,,0,0,0,,0,1,,More...,,0,-1,0,,-1,,,-1,0,0,,0,,Standard,1,1,1,1,BUXS-BR-DPK-20/30-50,,,,,1,0,0,0,0,0,,,1,2870,0,,,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,No,__UseEmptyValue__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,0,,,__UseParent__,__UseParent__,__UseParent__,Standard Product Links,0,__UseParent__,__UseParent__,__UseParent__,Standard MOTO Product Layout,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,NTTN-PB-40/60-500,"National Trust, Traditional Native Disconted Pack of 1000 mixed bare roots",,,16999,,1,0,1,,,,,0,,,,0,0,0,0,0,0,0,301=2000=0=,0,0,0,0,0,,,0,1,National-Trust--Traditional-Native-Disconted-Pack-of-1000-mixed-bare-roots-NTTN_PB_40_60_1000.html,1,,,,0,0,0,,0,1,,More...,,0,-1,0,,-1,,,-1,0,0,,0,,Species,1,1,1,1,NTTN-PB-40/60-500,,,,,1,0,0,0,0,0,,Normal,1,5500,0,,,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,No,__UseEmptyValue__,,,,,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Standard Product Links,0,__UseParent__,__UseParent__,__UseParent__,Standard MOTO Product Layout,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
