Version:16,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Price,Pricing Model,Assembly Product,,,,,,,,,,,,,,,,,,,
Header:Component,Component Name,Price,Quantity,Name HTML,Is Optional,Selected by default,Associated Product Reference,Uses Associated Product Prices,Uses Associated Product Name,Uses Associated Product Tax,Component As Separate Order Line,Include No Choice Label,No Choice Label Text,IsDeleted,Content Category,Use Associated Product Shipping,Include Grid of Choice Details,Include Prices,Hide Out of Stock Options,PermutationLayout,PermutationPrice,ComponentAttributeList,AttributeList,ComponentLayout
Component,CARP-BR-60/90,0,500,CARP-BR-60/90,0,1,CARP-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-100,Hornbeam 90/120cm bare root x 100,15999,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,100,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-250,Hornbeam 90/120cm bare root x 250,37999,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,250,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-500,Hornbeam 90/120cm bare root x 500,67599,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,500,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK120/150-50,Hornbeam 120/150cm bare root x 50,12099,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-120/150,0,50,CARP-BR-120/150,0,1,CARP-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK120/150-100,Hornbeam 120/150cm bare root x 100,21499,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-120/150,0,100,CARP-BR-120/150,0,1,CARP-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK120/150-250,Hornbeam 120/150cm bare root x 250,50399,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-120/150,0,250,CARP-BR-120/150,0,1,CARP-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK120/150-500,Hornbeam 120/150cm bare root x 500,87399,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-120/150,0,500,CARP-BR-120/150,0,1,CARP-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CAR-BRPK-150/180-50,Hornbeam 150/180cm bare root x 50,20199,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-150/180,0,50,CARP-BR-150/180,0,1,CARP-BR-150/180,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CAR-BRPK-150/180-100,Hornbeam 150/180cm bare root x 100,35899,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-150/180,0,100,CARP-BR-150/180,0,1,CARP-BR-150/180,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK40/60-100,Hawthorn 40/60cm bare root x 100,8449,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-40/60,0,100,CRA-BR-40/60,0,1,CRA-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK40/60-250,Hawthorn 40/60cm bare root x 250,22199,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-40/60,0,250,CRA-BR-40/60,0,1,CRA-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK40/60-500,Hawthorn 40/60cm bare root x 500,33799,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-40/60,0,500,CRA-BR-40/60,0,1,CRA-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
